Base,First_6,Middle_8,Last_6
A,0.0038258834524160664,0.00252351341260945,0.0020628664917721833
C,0.006731389745737182,0.0026905520612204503,0.0034472660680682668
G,0.00590472626967815,0.002483122612485775,0.002662068784407667
T,0.0051878939817444,0.0025689236877847873,0.002370766501142233
