trial,validation_mse,unseen_pearson,unseen_spearman
0,0.3087736964225769,0.6959273815155029,0.37584008196002044
1,0.5694354176521301,0.15147432684898376,0.1197291344322836
2,0.5672399997711182,0.14122414588928223,0.10675286518821628
3,0.3194924294948578,0.7137006521224976,0.380149472037368
4,0.3258208930492401,0.6702956557273865,0.35833512108378024
5,0.29605481028556824,0.7107809782028198,0.36263399465849866
6,0.5713409185409546,0.09920051693916321,0.09811341936703537
7,0.3354904055595398,0.6805673837661743,0.3817300044325011
8,0.3268547058105469,0.6854994297027588,0.36486599221649807
9,0.5668179988861084,0.15555503964424133,0.1351678507919627
10,0.5678939819335938,,
11,0.37484294176101685,0.6488049626350403,0.3463828692256109
12,0.3966028690338135,0.601121723651886,0.34267116616779153
13,0.3123355805873871,0.6889737248420715,0.3853116603279151
14,0.3181483745574951,0.6981560587882996,0.3770836812709203
15,0.5675493478775024,0.18248510360717773,0.15762098071435307
16,0.5699892640113831,0.0690886378288269,0.08343920745621199
17,0.30286532640457153,0.6699645519256592,0.3582562855640714
18,0.3498227000236511,0.6638550758361816,0.3675947193986798
19,0.29619163274765015,0.6851000189781189,0.3664599092523998
20,0.30573540925979614,0.7052476406097412,0.3801541820385455
21,0.3116414248943329,0.687616229057312,0.37222048505512123
22,0.3068687319755554,0.6996080279350281,0.37858204303747905
23,0.3072506785392761,0.6911982297897339,0.3888040752010188
24,0.4033317565917969,0.6130210161209106,0.3547805101951275
25,0.2842930555343628,0.6846079230308533,0.35163488940872234
26,0.30078181624412537,0.687359631061554,0.38002604600651146
27,0.2915065288543701,0.6958085298538208,0.33092869973217487
28,0.3043637275695801,0.6694181561470032,0.33764790341197587
29,0.3439200520515442,0.6652337312698364,0.3663009495752374
30,0.33844801783561707,0.6823831796646118,0.3764330021082505
31,0.3033224642276764,0.6792988777160645,0.3563148209623233
32,0.2977116107940674,0.7048285603523254,0.37500593775148444
33,0.3459717631340027,0.6663917303085327,0.36509284627321154
34,0.27342918515205383,0.7089601755142212,0.3694610213652553
35,0.2782130241394043,0.7226138114929199,0.34589615797403944
36,0.30782946944236755,0.7134264707565308,0.3811377016773521
37,0.2835494577884674,0.7199426889419556,0.3573373133343283
38,0.30710577964782715,0.7163931131362915,0.37155002388750596
39,0.30476710200309753,0.6984676122665405,0.3849067907266977
40,0.3043683171272278,0.7217452526092529,0.38716873429218357
41,0.3186069428920746,0.6970497369766235,0.3624378411094603
42,0.2982707619667053,0.6867079734802246,0.3786368650512051
43,0.33736369013786316,0.645256757736206,0.35321200930300234
44,0.5703610181808472,0.03708557039499283,0.009460494318684011
45,0.29729220271110535,0.7159188985824585,0.36667218766804693
46,0.5238023996353149,0.3441305160522461,0.24549861887465474
47,0.2987445890903473,0.7203567028045654,0.3876132654033163
48,0.4667324125766754,0.45878756046295166,0.3015187623796906
49,0.28783026337623596,0.7132492661476135,0.369634875908719
50,0.2833153009414673,0.71045982837677,0.37220889305222327
51,0.28576695919036865,0.7055387496948242,0.3690565792641448
