trial,validation_mse,unseen_pearson,unseen_spearman
0,0.02088020183146,0.7742157578468323,0.7648034881729349
1,0.0211752038449049,0.7709722518920898,0.7626145768049166
2,0.02160058543086052,0.7571773529052734,0.7492789024991418
3,0.02193097397685051,0.7599297761917114,0.7513240011279619
4,0.021752426400780678,0.7589893341064453,0.7450263168844541
5,0.02087637223303318,0.7703864574432373,0.7593758062469184
6,0.02087976224720478,0.7698730826377869,0.760771218483282
7,0.020895393565297127,0.7759281992912292,0.7649230117531404
8,0.021418847143650055,0.7576576471328735,0.7507505484043632
9,0.02140101231634617,0.7680370807647705,0.7578584709060655
10,0.02386821061372757,0.7491573095321655,0.7429630767611444
11,0.020765000954270363,0.7732850313186646,0.763879177626731
12,0.020917803049087524,0.7668737173080444,0.7572045618266752
13,0.02070610597729683,0.7779098153114319,0.7690279690047257
14,0.021112041547894478,0.7712786793708801,0.7616160742135027
15,0.020977580919861794,0.7691253423690796,0.7560370153750569
16,0.020791884511709213,0.7742855548858643,0.7617234986117588
17,0.023021334782242775,0.7460010647773743,0.7347996934481045
18,0.02070249617099762,0.7718256711959839,0.7587421164901128
19,0.022397814318537712,0.7510347962379456,0.7378557450370421
20,0.021122436970472336,0.7673467993736267,0.7568016614813942
21,0.020725980401039124,0.7784560918807983,0.7671286635648967
22,0.02091473899781704,0.7729532718658447,0.7626710452044805
23,0.02082563191652298,0.7699951529502869,0.7593236771695921
24,0.020919179543852806,0.7702099680900574,0.7592725246342765
25,0.02084001526236534,0.7709404230117798,0.7591080324266157
26,0.02114861272275448,0.7673150300979614,0.7574240411498296
27,0.021114161238074303,0.7710008025169373,0.7584749359275453
28,0.0208378117531538,0.7786233425140381,0.767940568231471
29,0.02031724713742733,0.7788300514221191,0.7671831711647916
30,0.020376723259687424,0.7808809280395508,0.7683678434177468
31,0.02055569551885128,0.780487060546875,0.7679338113215485
32,0.020462766289711,0.7702010273933411,0.7586772955998528
33,0.020832642912864685,0.7748665809631348,0.7639732773403124
34,0.02051067166030407,0.7742774486541748,0.7624114159756068
35,0.020585229620337486,0.7722408771514893,0.7605127337656112
36,0.020850351080298424,0.7737662196159363,0.761217428752954
37,0.020498299971222878,0.7776879072189331,0.7661495050029428
38,0.020835505798459053,0.7749778032302856,0.7643211516255094
39,0.020903926342725754,0.7728933095932007,0.7639733392853447
40,0.020634500309824944,0.7716881036758423,0.7597067051907704
41,0.02055141143500805,0.7738500833511353,0.7622299108866333
42,0.02115100622177124,0.771226167678833,0.7611773151641762
43,0.021017123013734818,0.766771674156189,0.7562347032628882
44,0.020492995157837868,0.7774145603179932,0.7642954197031787
45,0.023159243166446686,0.730025589466095,0.7222815669243884
46,0.02044752985239029,0.7797420024871826,0.7676704441753681
47,0.020274881273508072,0.7774665951728821,0.7662832273096633
