Struct,First_6,Middle_8,Last_6
Unpaired,0.0012140539837718666,0.0011518508377398751,0.00115075982667895
Paired-Opening,0.00092210264376495,0.0009575205576248249,0.0008887209274852666
Paired-Closing,3.316127975372853e-06,9.440903180468858e-07,0.0
