Feature,Importance Magnitude
Pos20_Unpaired,0.008710060770385377
Pos5_Paired-Opening,0.008517374666225439
Pos4_Paired-Opening,0.00802605246686117
Pos5_Unpaired,0.007460273898122447
Pos15_Unpaired,0.006390678891838348
Pos15_Paired-Opening,0.006182701228839585
Pos2_Paired-Opening,0.005970529247664951
Pos17_Unpaired,0.005633140488736046
Pos9_Paired-Opening,0.005571978746919099
Pos9_Unpaired,0.00543458969101456
Pos1_Unpaired,0.005200242529209122
Pos19_Unpaired,0.005144295981609563
Pos4_Unpaired,0.005087305280908463
Pos2_Unpaired,0.004632766794753649
Pos6_Unpaired,0.004603663732624433
Pos17_Paired-Opening,0.00458566626392783
Pos14_Paired-Opening,0.004555918359371823
Pos8_Unpaired,0.004525487129629614
Pos14_Unpaired,0.0044100043147149515
Pos3_Unpaired,0.0042855523723915245
Pos10_Unpaired,0.004240118494609197
Pos10_Paired-Opening,0.003984855894764086
Pos8_Paired-Opening,0.003799129815765842
Pos16_Unpaired,0.0037905891438814302
Pos3_Paired-Opening,0.0036121618535909093
Pos16_Paired-Opening,0.003505401517133636
Pos7_Unpaired,0.0034629592696237164
Pos6_Paired-Opening,0.003459713914542087
Pos7_Paired-Opening,0.0033470386313621523
Pos19_Paired-Opening,0.0031663182798676503
Pos18_Paired-Opening,0.0028536887794276353
Pos11_Unpaired,0.0026868862959045082
Pos11_Paired-Opening,0.0026011902035042657
Pos12_Paired-Opening,0.0024345452741744737
Pos12_Unpaired,0.0024122952440539204
Pos1_Paired-Opening,0.0023558432015005257
Pos18_Unpaired,0.002345626007803884
Pos13_Unpaired,0.002228938001257508
Pos20_Paired-Opening,0.001894329661987777
Pos13_Paired-Opening,0.0017500823034611549
Pos20_Paired-Closing,7.52461447626406e-05
Pos19_Paired-Closing,5.2628022956504995e-05
Pos17_Paired-Closing,4.317430287491311e-05
Pos16_Paired-Closing,1.66360824636646e-05
Pos18_Paired-Closing,1.6352638185344196e-05
Pos14_Paired-Closing,1.35958016582661e-05
Pos15_Paired-Closing,8.801739325745e-06
Pos13_Paired-Closing,4.616232074531201e-06
Pos11_Paired-Closing,2.7061753654827e-06
Pos10_Paired-Closing,2.4157632925926e-06
Pos12_Paired-Closing,1.9702172949723e-06
Pos9_Paired-Closing,1.3481003619381e-06
Pos5_Paired-Closing,0.0
Pos6_Paired-Closing,0.0
Pos8_Paired-Closing,0.0
Pos4_Paired-Closing,0.0
Pos3_Paired-Closing,0.0
Pos2_Paired-Closing,0.0
Pos1_Paired-Closing,0.0
Pos7_Paired-Closing,0.0
