trial,validation_mse,unseen_pearson,unseen_spearman,best_epoch,conv1_filters,conv1_kernel,conv1_dropout,conv1_pool,conv2_filters,conv2_kernel,conv2_dropout,conv2_pool,conv3_filters,conv3_kernel,conv3_dropout,conv3_pool,dense0_units,dense0_dropout,dense1_units,dense1_dropout,dense2_units,dense2_dropout,learning_rate,batch_size
10,152.66371154785156,0.47742924094200134,0.4669982437929315,100,112,4,0.4878148443151463,3,64,6,0.10623791986338255,2,48,6,0.1113913164559886,3,112,0.14687627091901523,160,0.4742247504325699,64,0.4988364306100641,1.1114029394631088e-05,256
11,62.215782165527344,0.7844298481941223,0.7895974940531708,39,48,3,0.4680835603346,2,64,4,0.27948152722138064,3,96,6,0.15079393760043477,2,160,0.4201300331256638,80,0.11046487917240672,64,0.32841390270259885,0.0006467689916817022,32
12,61.201873779296875,0.7834204435348511,0.7910377373993793,37,80,4,0.4032796128642408,2,64,6,0.10555352108744234,3,80,6,0.19277514680488628,3,112,0.4134215424399912,96,0.23979123061293273,48,0.35039916993058734,0.000679051413530116,32
13,68.4856185913086,0.7631602883338928,0.7738332188137489,99,80,4,0.24191816019969098,2,48,4,0.17483974624521648,3,96,7,0.32451519775421755,2,128,0.42429890775352075,128,0.10012549437068416,80,0.2888490300704192,0.0002535130833666942,500
14,62.42323303222656,0.7786139249801636,0.7842632616537913,19,64,3,0.4117712809246714,3,96,6,0.27148252870650824,2,80,6,0.16351237548930883,3,160,0.370265053149889,80,0.1636782078002405,80,0.4492569714087488,0.0012630238590846264,64
15,74.50072479248047,0.7508130073547363,0.7607576744314625,99,48,3,0.23848145731123888,2,80,4,0.14454558768722015,3,80,7,0.310295733882602,2,128,0.460974310230882,144,0.26628092443569873,48,0.39889536623492516,9.236268703914096e-05,256
16,60.98938751220703,0.7869148254394531,0.7941726133891958,45,96,4,0.35064012076770235,2,96,4,0.22942327738167384,2,96,6,0.2037885043026049,3,96,0.4979082962631698,48,0.1416678295674364,128,0.2908595279595494,0.0004013077863069217,32
17,58.283363342285156,0.7922505140304565,0.799414117609705,93,64,3,0.42923147687060814,2,48,6,0.31046554094977064,3,48,6,0.10438375648318919,2,128,0.3723572276815457,96,0.21655212705122334,80,0.10083190559193059,0.00012334978192088815,32
18,62.8799934387207,0.784184455871582,0.7922694080377717,92,64,4,0.43321347397311244,3,48,6,0.35263339211840716,3,32,6,0.12508635924278586,3,96,0.3569952070479641,96,0.22753346608523856,96,0.10558158032859952,8.812191987962648e-05,32
19,90.9980697631836,0.6786789894104004,0.6876993365778324,100,96,4,0.45517077488696495,2,112,6,0.33533553707554375,2,48,6,0.2984932149645029,2,128,0.30189235219610644,128,0.3230080488698221,80,0.1557592768840443,3.522332185058782e-05,256
20,73.82707214355469,0.7412198781967163,0.7507546069448772,100,96,3,0.3710260129597129,2,48,6,0.42061726968807334,3,48,6,0.10317286021138572,2,80,0.3931071264938245,96,0.27522195168010577,112,0.41325336065601126,4.0057612259724236e-05,64
21,59.65792465209961,0.790554404258728,0.7977986938990964,62,64,3,0.2830693031226539,2,80,6,0.24441906634215435,3,80,6,0.1719058733381707,2,144,0.450739292313031,64,0.1685914880212023,48,0.26798696756317714,0.0001776890739222676,32
22,59.24635696411133,0.7939767241477966,0.80157522132973,83,64,3,0.49945637302371443,2,80,6,0.2568615788912272,3,64,6,0.22157758038371075,2,128,0.439194512234888,64,0.1939160145205281,80,0.26023858037896086,0.00016356775702507307,32
23,59.11333465576172,0.7959902882575989,0.8027772452235815,100,80,3,0.4940114431022078,2,80,6,0.3062471040734092,3,32,6,0.22362003010074719,2,128,0.3340070272996272,96,0.21114857321574057,80,0.32996535716356806,0.0001375485506274272,32
24,62.71085739135742,0.7868020534515381,0.7956374057135485,95,80,3,0.43840920396566807,2,96,6,0.3124266829452053,3,32,6,0.35082497978114136,2,112,0.2685361058100991,96,0.24829691456861447,96,0.33517478405394985,6.23667105409373e-05,32
25,67.9608383178711,0.7670032382011414,0.7754471409532152,92,112,3,0.4241236069905341,2,128,6,0.357079203031467,3,32,6,0.27877488002133155,2,128,0.3267205925698901,128,0.30350612155649515,80,0.4295779465814459,0.00033868133644589905,500
26,63.51295471191406,0.779517412185669,0.7879127391851846,72,80,4,0.46634690850836624,3,48,6,0.39460361860895343,2,16,8,0.13465241798505287,3,160,0.3950638633488913,96,0.22064843947379864,64,0.49790665915637083,0.00015137781698787455,32
27,68.97840881347656,0.7636846899986267,0.7724696539304848,100,128,3,0.38324817529343735,2,112,6,0.30781200196436653,3,48,6,0.24741356916557378,2,112,0.10327416439259268,112,0.19235752231446118,96,0.3686565018835368,2.3691403379605506e-05,32
28,70.10847473144531,0.7674456238746643,0.7748533140985033,84,96,4,0.45191255640856987,2,32,6,0.19098697804914147,2,32,6,0.21677644012343034,3,128,0.3453399403751878,80,0.4786648560033296,112,0.4636660339295222,6.466715800173035e-05,32
29,62.156192779541016,0.7843056917190552,0.792355642800775,98,64,3,0.356920898107735,2,128,5,0.48811602812898136,2,16,8,0.26722903635571826,3,96,0.2625935085637089,96,0.1275041208867958,80,0.14487916989547336,0.00012944044405628445,128
