Base,First_6,Middle_8,Last_6
A,0.0028787372875098,0.0028219955328081,0.0024095058212006333
C,0.00243021105979115,0.001831582145596325,0.0009967000757204667
G,0.00249707272586145,0.001817169744380625,0.0014630962285717335
T,0.0022737889200177335,0.0015047544905745502,0.0011036991468584166
