trial,validation_mse,unseen_pearson,unseen_spearman
0,0.07471512258052826,0.5984611565211135,0.5839811576977618
1,0.07717566937208176,0.6023160934139018,0.5889682186831724
2,0.08723581582307816,0.4903792964471595,0.4858994196098345
3,0.09362222999334335,0.43623122209254483,0.43656585480331306
4,0.08554358780384064,0.5084408305370767,0.5039664549825124
5,0.07589578628540039,0.6099640922727207,0.598855786673412
6,0.0738549679517746,0.6098875714556313,0.5953262533635947
7,0.07646296173334122,0.6123038259476303,0.6004780706805943
8,0.07313994318246841,0.6237713189478216,0.6086562316180992
9,0.0949392169713974,0.4290834231175248,0.43051132411239684
10,0.07381796836853027,0.6416314048598375,0.6195686134860222
11,0.07474925369024277,0.6190420424670362,0.6012126213480955
12,0.11563601344823837,0.023256077089681502,0.015284367869111174
13,0.07530210167169571,0.6082736298707117,0.5939300805098693
14,0.07350356876850128,0.6309878119129387,0.6132384870341752
15,0.07777601480484009,0.5889373359852382,0.5772006604039062
16,0.07153069972991943,0.6277801269503508,0.6084770402722469
17,0.07623150944709778,0.6070428605385678,0.5938794176974557
18,0.07279164344072342,0.6216676895697877,0.608646148748614
19,0.07340025901794434,0.6248276431618573,0.6071126308619
20,0.07655223459005356,0.5973592233161783,0.5874652700048979
21,0.07074496895074844,0.6347700440035706,0.6174417211346
22,0.07147491723299026,0.6403131514817906,0.6199243672578609
23,0.07356033474206924,0.6337642907989678,0.6157568960856104
24,0.07536359131336212,0.614552775454696,0.5970193018021646
25,0.07415948063135147,0.6217782376190526,0.6072548810746382
26,0.072083979845047,0.635768994056306,0.6114881874535281
27,0.07287836819887161,0.6320683682456604,0.6087495342283361
28,0.0767485648393631,0.6006294734913658,0.5906155575790757
29,0.07269379496574402,0.6121692734465003,0.5872587875854387
30,0.07276720553636551,0.6211922637827485,0.6067774676240101
31,0.07273191958665848,0.6432963486613554,0.6282061781700745
32,0.0741923525929451,0.6294779052101684,0.6104298548475559
33,0.07022064924240112,0.6019733834648593,0.5898883726961984
34,0.07359979301691055,0.6179075518384161,0.6017175823523172
35,0.07141033560037613,0.6332786543236912,0.6074033990170564
36,0.07127358764410019,0.6236889411190847,0.6089608336625493
37,0.07439650595188141,0.6222987078921688,0.6086822162467728
38,0.07223960757255554,0.6229947617358593,0.6067029040828167
39,0.07138277590274811,0.6276200665041054,0.6111679080698782
40,0.07057124376296997,0.6277252175839301,0.6078499467042602
41,0.07156524062156677,0.6382722066272875,0.6199792459600594
42,0.07078970968723297,0.6372629963623178,0.6184603233876005
43,0.0712469071149826,0.6392369726163323,0.6166136434368734
44,0.07292897254228592,0.631331858022288,0.6127714209480188
45,0.07485602051019669,0.6333540522835531,0.6134512131383155
46,0.08591960370540619,0.507359713595523,0.5029297708904351
47,0.07376345992088318,0.6278778189493739,0.6106230804576918
48,0.07316260784864426,0.6199433586318821,0.602086304393494
49,0.07067403197288513,0.6418316308871923,0.6154219813127079
50,0.1147177666425705,0.3395302098919279,0.34810107636696264
51,0.07111794501543045,0.6388160940240128,0.6136681711622398
52,0.07249438017606735,0.6490743058705049,0.6280127682149481
53,0.0730607658624649,0.6249742366367937,0.6079436180044783
54,0.07345777750015259,0.628767031491134,0.6112237297592682
55,0.07377205044031143,0.6069986658412909,0.5946129504600087
56,0.07396166026592255,0.6319747556305938,0.612826187440223
57,0.10190367698669434,0.375183784318256,0.3794831479423852
58,0.115147165954113,0.047834503358629724,0.04623502654041906
59,0.0741593986749649,0.6290114584938318,0.6109996010934702
60,0.07260747253894806,0.6347063927624749,0.6120709901337757
61,0.07386451214551926,0.6339820371568468,0.6113235673769318
62,0.0714072436094284,0.6399229158640984,0.6198094882687255
63,0.0697856917977333,0.6514263407004719,0.627630476779464
64,0.07137957960367203,0.6274072199834592,0.6118280955711757
65,0.07469198852777481,0.627071372055665,0.6057343234422627
66,0.07283365726470947,0.619677160817846,0.6078321774501672
67,0.07417850941419601,0.6310001235345336,0.6136232230445344
68,0.07428588718175888,0.6056925586453494,0.5939116620408096
69,0.07345619052648544,0.6278539151592435,0.606023857287482
70,0.072934590280056,0.6373920473286987,0.6092425368531685
71,0.07279971241950989,0.6147317485585013,0.6015915224387526
72,0.06970065087080002,0.6473398958982337,0.6287825047306531
73,0.07091754674911499,0.6355252240458913,0.6150774565552959
74,0.07203737646341324,0.626935024572387,0.6112392976712338
75,0.07058794051408768,0.635318216990838,0.6167385491904971
76,0.07377365231513977,0.6336581789904538,0.6157314324319103
77,0.0733957514166832,0.6132270132864206,0.5949470637329523
78,0.1151851937174797,0.042523561667381804,0.049979109404294654
79,0.07223967462778091,0.6364463822147914,0.6161010200930428
80,0.07383954524993896,0.6049003053759494,0.5835820347631371
81,0.09368523955345154,0.4340112572803082,0.4332581606521708
82,0.0723014622926712,0.6261386484437952,0.6082710708127618
83,0.07255547493696213,0.6448120529243102,0.6187726599066556
84,0.07407959550619125,0.6484654185623668,0.6261035311924147
85,0.07319431751966476,0.6414332251281329,0.6278824843965991
86,0.07156121730804443,0.6326405402189246,0.6125136826061763
87,0.07264584302902222,0.6436903399608317,0.6276185905350709
88,0.08383388817310333,0.531360749669621,0.5287202041388335
89,0.07397031038999557,0.6316210487813564,0.6147682859610789
90,0.07112563401460648,0.6295300998292441,0.6084701313425998
91,0.07004300504922867,0.645848570641949,0.6229119182803465
92,0.07244570553302765,0.636257726044005,0.6182363602540338
93,0.07245670258998871,0.6269844473898516,0.6060164273828612
94,0.07014045119285583,0.636349601126875,0.6171565394341585
95,0.07101273536682129,0.6161118739413114,0.5950871739407997
96,0.07260355353355408,0.6309311303511695,0.602485619688109
97,0.07407605648040771,0.6223815130007502,0.5999793854210523
