trial,validation_mse,unseen_pearson,unseen_spearman
0,0.0019966987892985344,0.5769198536872864,0.6389851215641196
1,0.0017658885335549712,0.6211187243461609,0.6857075472657737
2,0.0017628232017159462,0.6411396861076355,0.6840918347090679
3,0.0018168825190514326,0.6383140087127686,0.690705708142004
4,0.0029219044372439384,,
5,0.0029222865123301744,,
6,0.0017963878344744444,0.6185821294784546,0.6630145450745308
7,0.0018452280201017857,0.6342816352844238,0.7050547611890267
8,0.001683196984231472,0.6644585132598877,0.703949193273821
9,0.0029218802228569984,,
10,0.0017914000200107694,0.6262307167053223,0.682278568096973
11,0.0018535689450800419,0.6205494999885559,0.679259424261599
12,0.0017292782431468368,0.6446226835250854,0.6964639265856895
13,0.0017908097943291068,0.6330772042274475,0.6899383475459291
14,0.0019573403988033533,0.603657066822052,0.6603531654126168
15,0.0016960506327450275,0.6679578423500061,0.7114404265199394
16,0.0017054994823411107,0.6603683233261108,0.7069731029020597
17,0.0017926424043253064,0.6310975551605225,0.6913325585259555
18,0.0019316562684252858,0.6079773902893066,0.6597385692327663
19,0.001694513252004981,0.6595666408538818,0.7104540782493776
20,0.001750641269609332,0.634784996509552,0.6979588398373301
21,0.0017813368467614055,0.6454282999038696,0.69509963807066
22,0.0017229390796273947,0.6711825132369995,0.7083225512416838
23,0.0017241219757124782,0.6589301824569702,0.705328691834241
24,0.0017581548308953643,0.653937816619873,0.6999986868873439
25,0.001730379881337285,0.6705220937728882,0.7177348055922557
26,0.0017356249736621976,0.6661036014556885,0.7159494543063712
27,0.0017403006786480546,0.6712387800216675,0.7156519458187198
28,0.0018273184541612864,0.6285423040390015,0.6927611532809079
29,0.0017597442492842674,0.6497244238853455,0.7096431844326618
30,0.0017046428984031081,0.6648023724555969,0.7154400460588635
31,0.0017109682084992528,0.6555884480476379,0.7015106116483398
32,0.0017389144049957395,0.6614475846290588,0.7071825245520116
33,0.0017005635891109705,0.6760667562484741,0.7227813968040884
34,0.001693974481895566,0.669718861579895,0.7114853529434679
35,0.0017410306027159095,0.6553199887275696,0.7061730365741655
36,0.001665842835791409,0.6833457946777344,0.7248440138418212
37,0.002921891398727894,,
38,0.001767692156136036,0.6283128261566162,0.685337518114492
