crRNA spacer,bh_maximal consecutive paired bases,bh_maximal consecutive unpaired bases,bh_5' overhang,bh_3' overhang,bh_5' stem,bh_3' stem,dsDNA target,ah_maximal consecutive paired bases,ah_maximal consecutive unpaired bases,ah_5' overhang,ah_3' overhang,ah_5' stem,ah_3' stem,PAM-proximal region,central region,PAM-distal region,crRNA spacer,bh_maximal consecutive paired bases,bh_maximal consecutive unpaired bases,bh_5' overhang,bh_3' overhang,bh_5' stem,bh_3' stem,dsDNA target,ah_maximal consecutive paired bases,ah_maximal consecutive unpaired bases,ah_5' overhang,ah_3' overhang,ah_5' stem,ah_3' stem,PAM-proximal region,central region,PAM-distal region
0.60153437,0.646027,0.8329635,0.9444444,0.9762011,0.61792964,0.90909094,0.48188666,0.49980336,0.9444444,1.0,1.0,0.49980336,0.49980336,0.34699047,0.56245965,0.51321363,-0.10708350224452769,0.021147285953026687,-0.031031476640194112,0.024477613674893667,-0.024447078986001763,-0.018971653372287102,0.0027606746899488076,0.009570163146131306,0.0017148604511581617,0.0,0.0,0.0,0.013113690266843472,0.009960681325314344,0.0011481903846308485,-0.006476498432556995,-0.005903993452165134
0.93756646,0.9411765,0.29099867,0.29099867,0.29099867,0.90909094,0.90909094,0.6691088,0.6805947,0.9444444,1.0,1.0,0.6805947,0.6805947,0.67074054,0.49134848,0.66921365,0.01739478270513905,-0.041914391046638313,0.07723220028564955,-0.029406122621906446,0.04370016634236174,-0.0009308934836281174,0.012376349286935744,-0.019146151984575442,0.0068737986522498015,0.0,0.0,0.0,-0.015543454909741268,0.004685459126493227,-0.018501823846477267,0.0023958469370361835,0.03538936012641158
0.83013284,0.7239864,0.8946535,0.9116092,0.9015216,0.90909094,0.90909094,0.46966457,0.4845964,0.9444444,1.0,1.0,0.4845964,0.4845964,0.6257405,0.346904,0.4622136,0.010917377407939941,0.018234635665768127,-0.06119969263123728,0.011162775274680037,-0.022445325221147373,4.657472200255905e-05,0.005009757464775972,0.01053192951056372,0.00166200875732171,0.0,0.0,0.0,0.011482766364219393,0.00751892465586856,-0.029301969700569645,0.0010002441433566345,-0.015256000197465846
0.93756646,0.9411765,0.15122367,0.15122367,0.15122367,0.90909094,0.90909094,0.45633113,0.46320987,0.9444444,1.0,1.0,0.46320987,0.46320987,0.3644905,0.49579293,0.5622137,0.028711411273872486,-0.025493579220221763,0.10201819835067134,-0.04164828069207242,0.04076970588020909,0.000831657360163515,0.006053809064409836,0.010588608833633306,-0.0068014961379318055,0.0,0.0,0.0,0.006377605312205481,-0.006298241112018917,0.01034295971905454,0.0013595810682506138,0.0027749523153567635
0.8140344,0.88044083,0.751744,0.9444444,0.9444444,0.84651476,0.80675185,0.57577556,0.59278256,0.9444444,1.0,1.0,0.59278256,0.59278256,0.59574056,0.43023735,0.6002137,0.009160798649377262,-0.012805505813610316,-0.03009396827851103,0.024706569431976085,-0.018119526908969463,0.002807062303755817,-0.01025625286035115,0.005416778915445949,0.003877219413821762,0.0,0.0,0.0,-0.004678518816841669,0.00035932311944307445,-0.017134433387009446,0.01034048990132098,0.01530193921425358
0.8861461,0.8472475,0.81091034,0.9444444,0.9444444,0.91189384,0.83885354,0.4196646,0.43473262,0.9444444,1.0,1.0,0.43473262,0.43473262,0.3282405,0.545793,0.44621363,0.029381132930518906,-0.0024396472586883456,-0.026828213011109544,0.02635901348484463,-2.0926286534511744e-05,0.0021134637503746286,-0.0032855880999190755,0.012879179679993056,0.003266326230725833,0.0,0.0,0.0,0.018843627779339414,0.010554014369143156,0.01101164632590804,-0.001277962408119378,-0.014360790654604296
0.8931063,0.8290892,0.72376716,0.8259664,0.86468667,0.90909094,0.90909094,0.25744227,0.2762816,0.9444444,1.0,1.0,0.2762816,0.2762816,0.19699049,0.40134853,0.45721358,0.04004471293514608,-0.0009211932059589062,-0.021632520019097726,-0.00034459014863775784,-0.014597241836609966,0.001809540736863649,0.0030675461291105044,0.0089661957729317,-0.006644460185603034,0.0,0.0,0.0,0.02727432474157178,-0.008974603235226331,-0.010653573293034114,0.010129251858229356,-0.011751217772552551
0.84021795,0.61982834,0.7770575,0.9444444,0.9232409,0.9610564,0.90909094,0.7091089,0.71285576,0.9444444,1.0,1.0,0.71285576,0.71285576,0.59824055,0.6569041,0.5542137,0.01577536915836063,0.03492977930181627,-0.024346825268629635,0.03640941308373461,-0.0047793818679384295,0.0030376794820784303,0.006942122282110032,-0.014672507782616941,-0.001211829841563428,0.0,0.0,0.0,-0.03307984050791123,-0.014782034704027669,-0.00862484516020464,-0.012850661159375373,0.0027520105700785356
0.93756646,0.9411765,0.32094663,0.32094663,0.32094663,0.90909094,0.90909094,0.6679979,0.67335075,0.9444444,1.0,1.0,0.67335075,0.67335075,0.6982405,0.58468187,0.52221364,0.021676144717474154,-0.040107562063461534,0.05332220931295546,-0.0846811964501166,0.015023868385067488,0.0005224846873734132,0.010015960030135482,-0.0188571269622343,0.005429654943747321,0.0,0.0,0.0,-0.02039047459948054,0.00012282622277774672,-0.01841056662662216,0.002180852964397745,-0.004792048246799222
0.9363829,0.8337011,0.56964767,0.9762011,0.48266104,0.90909094,0.90909094,0.6796646,0.69326544,0.9444444,1.0,1.0,0.69326544,0.69326544,0.6894905,0.57245964,0.5602137,0.025912996758260632,-0.005011749451800889,-0.004132196300849349,0.061172413088055995,-0.01511477834558856,0.00045108186583007256,0.004956514469785396,-0.017300211886304238,-0.004681377123673129,0.0,0.0,0.0,-0.02484083433295527,-0.009130504251487346,-0.03773240486341933,-0.0006220845018965144,0.0009233503958203038
