Feature,Importance Magnitude
Pos20_Unpaired,0.042290679279268314
Pos7_Unpaired,0.035982018789120614
Pos9_Unpaired,0.030711472467297288
Pos6_Unpaired,0.0299037605873556
Pos8_Unpaired,0.02861025935102043
Pos19_Unpaired,0.027714959136451497
Pos17_Unpaired,0.02697100954746728
Pos18_Unpaired,0.02639625067858799
Pos4_Paired-Opening,0.02433136324995831
Pos13_Unpaired,0.0235097749895244
Pos10_Unpaired,0.02255397580295105
Pos7_Paired-Opening,0.02245939023027908
Pos8_Paired-Opening,0.021262625798310817
Pos6_Paired-Opening,0.020722333968120902
Pos9_Paired-Opening,0.020527195360923903
Pos17_Paired-Opening,0.02046486035005947
Pos15_Unpaired,0.02021388326525667
Pos16_Unpaired,0.0191650063378562
Pos14_Unpaired,0.01891080036640228
Pos5_Unpaired,0.01849989920692794
Pos4_Unpaired,0.01777796090192637
Pos19_Paired-Opening,0.01551278772383259
Pos12_Unpaired,0.015358407749397328
Pos3_Paired-Opening,0.015002385592677154
Pos13_Paired-Opening,0.013746290218495787
Pos14_Paired-Opening,0.013264411677397135
Pos15_Paired-Opening,0.012967293494575266
Pos5_Paired-Opening,0.012697865934003941
Pos10_Paired-Opening,0.012478416108489114
Pos20_Paired-Opening,0.012431588009417679
Pos18_Paired-Opening,0.012118477312285603
Pos16_Paired-Opening,0.011224910693950449
Pos11_Unpaired,0.011123036266562426
Pos3_Unpaired,0.009603671848551844
Pos2_Paired-Opening,0.009145578458360202
Pos12_Paired-Opening,0.008241421692937788
Pos1_Unpaired,0.004877344261153366
Pos1_Paired-Opening,0.004768907197673661
Pos11_Paired-Opening,0.0033622657183611645
Pos2_Unpaired,0.003232774160463365
Pos20_Paired-Closing,0.0002924224507515456
Pos14_Paired-Closing,0.0001759295283850944
Pos17_Paired-Closing,0.0001173574479352094
Pos18_Paired-Closing,6.621477625711047e-05
Pos16_Paired-Closing,5.9129119274147304e-05
Pos19_Paired-Closing,5.8974353603406506e-05
Pos15_Paired-Closing,4.932244494862925e-05
Pos13_Paired-Closing,4.04771136547783e-05
Pos11_Paired-Closing,3.19982272302148e-05
Pos12_Paired-Closing,2.51663378217194e-05
Pos6_Paired-Closing,0.0
Pos5_Paired-Closing,0.0
Pos4_Paired-Closing,0.0
Pos8_Paired-Closing,0.0
Pos3_Paired-Closing,0.0
Pos2_Paired-Closing,0.0
Pos9_Paired-Closing,0.0
Pos10_Paired-Closing,0.0
Pos1_Paired-Closing,0.0
Pos7_Paired-Closing,0.0
