Feature,Model,Spearman Correlation,P-Value
,97,-0.929971783119924,0.0
PAM-distal region,44,-0.9116976898201271,0.0
,46,-0.9711456205561565,0.0
,58,-0.9444652845177379,0.0
,60,-0.9502183052340127,0.0
,61,-0.9650926167110048,0.0
,67,-0.9650777783583824,0.0
,90,-0.9538835883367502,0.0
,91,-0.9591132106148491,0.0
,94,-0.9590883700245308,0.0
,97,-0.9507286653623432,0.0
