Base,First_6,Middle_9,Last_6
A,0.009192572710028832,0.009855283406651956,0.00894330901978975
C,0.004281660400157416,0.004992647523941733,0.005351169038354666
G,0.0162895226146015,0.012125545148414376,0.0087388872613612
T,0.006029563847969584,0.0070095770286969445,0.0057584041072234506
