Feature,Importance Magnitude
Pos17_Paired-Opening,0.033124278696237915
Pos20_Paired-Opening,0.03195008678516751
Pos18_Paired-Opening,0.031385056342475716
Pos9_Paired-Opening,0.031060212600616897
Pos7_Paired-Opening,0.030177594043809576
Pos13_Paired-Opening,0.024963426532225122
Pos5_Paired-Opening,0.02331644642223678
Pos3_Unpaired,0.020372790964601543
Pos6_Paired-Opening,0.01949884282580077
Pos8_Paired-Opening,0.01885687674504918
Pos10_Paired-Opening,0.01858787348499915
Pos4_Paired-Opening,0.017408754718180305
Pos16_Paired-Opening,0.015029294304026795
Pos9_Unpaired,0.01488737459487328
Pos7_Unpaired,0.014875632883683973
Pos17_Unpaired,0.013501499957859221
Pos15_Paired-Opening,0.013236330550647206
Pos14_Paired-Opening,0.013080124712876666
Pos20_Unpaired,0.01250533696798159
Pos18_Unpaired,0.012357162938349599
Pos19_Paired-Opening,0.012317240074648822
Pos14_Unpaired,0.011846185795292065
Pos3_Paired-Opening,0.011672013630159295
Pos4_Unpaired,0.01109812865531178
Pos11_Paired-Opening,0.010923589629598397
Pos13_Unpaired,0.010921506909734039
Pos2_Unpaired,0.009988065271494094
Pos12_Paired-Opening,0.009611748408986773
Pos6_Unpaired,0.009387839553298557
Pos10_Unpaired,0.009219556908190011
Pos5_Unpaired,0.008451593304186432
Pos8_Unpaired,0.008253506810833788
Pos12_Unpaired,0.008209754671624311
Pos19_Unpaired,0.007495997803861889
Pos11_Unpaired,0.00742525708512733
Pos2_Paired-Opening,0.006867263560999005
Pos15_Unpaired,0.00684326647175722
Pos1_Paired-Opening,0.006753138942488245
Pos16_Unpaired,0.005644062406817708
Pos1_Unpaired,0.0033470537454825962
Pos19_Paired-Closing,0.0002853560821695637
Pos20_Paired-Closing,0.00023240651976229781
Pos18_Paired-Closing,0.0001995681637795853
Pos17_Paired-Closing,0.0001913218099113141
Pos16_Paired-Closing,0.0001749643644874225
Pos14_Paired-Closing,0.0001671856953771196
Pos15_Paired-Closing,0.00016460803389338203
Pos13_Paired-Closing,8.608091428788541e-05
Pos12_Paired-Closing,8.14290698109832e-05
Pos11_Paired-Closing,7.09527520374102e-05
Pos10_Paired-Closing,0.0
Pos9_Paired-Closing,0.0
Pos8_Paired-Closing,0.0
Pos7_Paired-Closing,0.0
Pos6_Paired-Closing,0.0
Pos5_Paired-Closing,0.0
Pos4_Paired-Closing,0.0
Pos3_Paired-Closing,0.0
Pos2_Paired-Closing,0.0
Pos1_Paired-Closing,0.0
