trial,validation_mse,unseen_pearson,unseen_spearman
0,0.02116791531443596,0.44394683837890625,0.4289068723894307
1,0.021058911457657814,0.44163230061531067,0.42029616157867
2,0.0217814352363348,0.3980153799057007,0.3844980221470242
3,0.020874978974461555,0.4368475079536438,0.4161120629905664
4,0.021017901599407196,0.4320142865180969,0.4076549858835595
5,0.02106056548655033,0.44005829095840454,0.41369300500283024
6,0.021373409777879715,0.4062940776348114,0.3974822548332968
7,0.021096741780638695,0.45104992389678955,0.4270723854810836
8,0.021092595532536507,0.43380653858184814,0.41811469461177736
9,0.021239740774035454,0.43343910574913025,0.41517255541068965
10,0.02078542672097683,0.43900933861732483,0.419896151058734
11,0.020606957376003265,0.435791939496994,0.41491810443788957
12,0.020511925220489502,0.4253182113170624,0.3967940680859806
13,0.020581545308232307,0.44083020091056824,0.4157127587586844
14,0.02092115767300129,0.44142666459083557,0.4175010694101654
15,0.02095840498805046,0.43692541122436523,0.4190731489037704
16,0.021215390413999557,0.4370616674423218,0.4141862990525696
17,0.020741460844874382,0.4313238859176636,0.41258883064368895
18,0.021364599466323853,0.4467388391494751,0.4280088003753905
19,0.021020131185650826,0.42317628860473633,0.4156648060803491
20,0.020994680002331734,0.4435540437698364,0.4183834586190058
21,0.02057844214141369,0.43597525358200073,0.4169646168797909
22,0.020766178146004677,0.4462288022041321,0.41746168314981885
23,0.02076842449605465,0.42086678743362427,0.4056083343243142
24,0.020688196644186974,0.4419868588447571,0.41358954450424834
25,0.020903166383504868,0.43959304690361023,0.42027906084669514
26,0.020835403352975845,0.4356403946876526,0.41627795507259135
27,0.021204672753810883,0.4308055639266968,0.41279492763812303
28,0.021273471415042877,0.4412539005279541,0.4244322914364371
29,0.021252481266856194,0.43578845262527466,0.41142707240547555
30,0.02103419415652752,0.43470847606658936,0.4218813769599466
31,0.020714925602078438,0.44495251774787903,0.4160527936513653
32,0.02081906981766224,0.44291409850120544,0.4147898007920737
33,0.020876897498965263,0.4454428553581238,0.4194878577061642
34,0.020876318216323853,0.43065962195396423,0.4132160625916752
35,0.020976772531867027,0.4495944678783417,0.4296517762077527
36,0.020791327580809593,0.4381992518901825,0.42536720279329565
37,0.02129637636244297,0.39120984077453613,0.3743332786142893
38,0.021008456125855446,0.44724228978157043,0.4231567726655205
39,0.0206289105117321,0.4281979501247406,0.41549527019404553
40,0.020793164148926735,0.3970000147819519,0.38546865352886545
41,0.02082918770611286,0.4264260530471802,0.40947463004143775
42,0.020959757268428802,0.43951815366744995,0.4178259298110188
43,0.021076155826449394,0.44088494777679443,0.42280273507710153
44,0.020796122029423714,0.4424436092376709,0.42082562078717617
45,0.021244164556264877,0.41325777769088745,0.40172708349271324
46,0.02087036333978176,0.433804452419281,0.40787003454401183
47,0.02055317535996437,0.4374159574508667,0.4117393908427028
48,0.021295081824064255,0.4427812993526459,0.4135792134723248
49,0.021259821951389313,0.43374404311180115,0.4099394371396643
50,0.020984984934329987,0.40340256690979004,0.3879344174895082
51,0.021060215309262276,0.4249728322029114,0.3909023094512329
52,0.02033168077468872,0.4300045967102051,0.4048038561787678
53,0.020537562668323517,0.4375051259994507,0.42000611261781323
54,0.02097919210791588,0.39990130066871643,0.3947756158691352
55,0.020617755129933357,0.4367976784706116,0.41020260434913125
56,0.021011440083384514,0.3923909664154053,0.3942360639756144
57,0.020886894315481186,0.4213390052318573,0.4192791527746552
58,0.02070840820670128,0.4142482578754425,0.4049790878774319
59,0.020937012508511543,0.41905152797698975,0.4058802542168818
60,0.021004995331168175,0.40768903493881226,0.40331080500214994
61,0.021906819194555283,0.405809223651886,0.37167659215104004
62,0.02162245288491249,0.43447762727737427,0.3962441853812453
63,0.020675068721175194,0.43640565872192383,0.42015460968117396
64,0.021022018045186996,0.44273480772972107,0.4194427141280439
65,0.021000904962420464,0.43699416518211365,0.41632488042284793
66,0.02050659991800785,0.4403882622718811,0.41839048939554363
67,0.02082858234643936,0.4337313771247864,0.41095758882422445
68,0.021269552409648895,0.4328005909919739,0.4118288968015503
69,0.020576706156134605,0.4205099642276764,0.39646798238236686
70,0.020976142957806587,0.40455493330955505,0.4012255066103402
71,0.020582981407642365,0.38622862100601196,0.3707061844687992
72,0.020712455734610558,0.4272943139076233,0.4046227307475775
73,0.02081356756389141,0.4060770571231842,0.3737248061050716
74,0.02076442539691925,0.41698992252349854,0.39434163263702426
75,0.02111838385462761,0.4182002544403076,0.3969833265311265
76,0.02175772190093994,0.3516941964626312,0.353409243532167
77,0.020671047270298004,0.41765666007995605,0.39926544489638616
78,0.02062232233583927,0.42114925384521484,0.41605130616591823
79,0.020790880545973778,0.41031426191329956,0.40619659201331876
80,0.02124979719519615,0.3610245883464813,0.3762939674281263
81,0.020938698202371597,0.4067809581756592,0.3852936546114772
82,0.020624663680791855,0.4280409514904022,0.3973485791177367
83,0.020967964082956314,0.40557360649108887,0.3909708889511461
84,0.020946189761161804,0.3952242136001587,0.3876982176421045
85,0.021342411637306213,0.4219357371330261,0.39516095353303954
86,0.020967857912182808,0.4436069130897522,0.42159854069830827
87,0.020725930109620094,0.4321153461933136,0.40936508583439035
88,0.020889274775981903,0.42479783296585083,0.39504329771470503
89,0.02085009589791298,0.4488106369972229,0.42831432346543113
90,0.02071326971054077,0.4061237573623657,0.3855971872533656
91,0.020933061838150024,0.43890130519866943,0.414486450072866
92,0.020742259919643402,0.42775362730026245,0.41237545674203147
93,0.02070864662528038,0.4378735423088074,0.41238505583876583
94,0.02087782509624958,0.44064706563949585,0.4213708484115554
95,0.020735332742333412,0.44328978657722473,0.41926205420488927
96,0.020899739116430283,0.44227224588394165,0.42235297940535976
97,0.020909298211336136,0.4409407675266266,0.4153551148206563
98,0.02069517783820629,0.43653857707977295,0.40988964918252196
99,0.020799754187464714,0.42271581292152405,0.4026204041143898
