Base,First_6,Middle_9,Last_6
A,0.012459981281335117,0.01217100348240479,0.008934954479116899
C,0.005883503121053168,0.004443338946598245,0.004653161522750184
G,0.027152352703072754,0.014893780877966223,0.007549513844812651
T,0.009493602121028883,0.006619166869181977,0.004918909378280884
